Code,Chironomidae_Unknown,Chironomidae_Corynoneura,Chironomidae_Tanypodinae,Chironomidae_Tanytarsini,Chironomidae_Chironimini,Chironomidae_Podonominae,Chironomidae_Orthocladinae,Chironomidae_Orthocladinae,Chironomidae_Brillia,Empididae_Chelifera,Empididae_Oreogeton,Ceratopogonidae_Unknown,Culucidae_Unknown,Tipulidae_Dicronata,Tipulidae_Molophilus,Tipulidae_Hexatoma,Tipulidae_Pedicia,Simulidae_Simulium,Simulidae_Twinnia,Dixidae_Unknown,"Horny diptera brown head, pale body, 12 segments, 1mm_??",Unknown_Unknown,Leptophlebidae_Paraleptophlebia,Leptophlebidae_Unknown #1,Baetidae_Baetis,Baetidae_Heterocleon,Baetidae_Procleon,Baetidae_Unknown #1,Baetidae_Fallcleon,Amaletidae_Amaletus,Heptagenidae_Cinygmula,Heptagenidae_Cinygma,Heptagenidae_Epeorus,Heptagenidae_Irondes,Ephemerellidae_Ephemerella,Ephemerellidae_Serratella,Ephemerellidae_Drunella,Ephemerellidae_Unknown,Nemouridae_Zapada,Nemouridae_Malenka,Nemouridae_Nemoura,Chloroperlidae_Sweltza,Chloroperlidae_Suwallia,Chloroperlidae_Unknown ,Peltoperlidae_Yoraperla,Leuctridae_Despaxia,Leuctridae_Unknown,Perlolidae_Unknown #1,Perlolidae_Unknown #2,Perlolidae_Osobenus,Capniidae_Capnia,Perlidae_Unknown,Unknown_Unknown,Elmidae_Heterlimnius,Elmidae_Lara,Elmidae_Rhizelmus,Chrysomelidae_Unknown,Hydrophilidae_Helophorus,Hydrophilidae_Hydrobius,Hydrophilidae_Unknown,Hydrochiidae_Hydrochus,Dysticidae_Unknown,Dysticidae_Hydaticus,Tenebrionidae_Unknown,Unknown_Unknown #1,Staphylinidae_Unknown,Brachycentridae_Brachycentrus,Brachycentridae_Micrasema,Limnephilidae_Psychoglypha,Limnephilidae_Clostoeca,Limnephilidae_Philocasca,Limnephilidae_Homophylax,Lepidostomatidae_Lepidostoma,Limnephilidae_Unknown,Polycentropodidae_Polycentropus,Philopotamidae_Wormaldia,Rhyacophilidae_Rhyacophila,Psychomyiidae_Psychomyia,Psychomyiidae_Tinodes,Apataniidae_Apatania,Cordulegastridae_Unknown,Ashnidae_Unknown,Unknown_Unknown,Unknown_Unknown,_Redbum,_Bivalve,_A,_B,_C,Unknown_Unknown,Corydalidae_Dysmicohermes,Sialidae_Sialis,Unknown_Unknown,Cyclopidae_Cyclops,Gerridae_Unknown,Saldidae_Unknown,Hebridae_Unknown,Unknown_Unknown,Unknown_Unknown,Planariidae_Planaria,Unknown_Unknown,Unknown_Unknown,Unknown_Unknown,Noctuidae_Unknown,Unknown_Unknown,Mite_Unknown,Spider_Unknown
R1_I,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,48,1,0,0,0,1
R1_I,0,0,2,18,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,5,0,0,0,0,0,0,2,14,0,0,0,0,0
R1_I,0,1,1,3,0,0,17,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,77,0,0,0,0,0,30,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,1,0,0,0,80,0,0,0,0,0
R1_I,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
R1_I,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,4,3,0,0,0,6,0,0,0,34,1,0,0,2,0
R2_I,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
R2_I,0,1,2,4,0,0,10,2,0,0,1,0,0,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,2,3,0,21,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,20,0,0,5,0,0
R3_1,0,8,5,81,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,35,0,0,0,0,0,11,0,0,3,0,41,9,2,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,10,0,0,21,0,0
R3_1,0,1,1,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,25,0,0,0,0,0,0,11,0,0,0,0,0,1,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
R3_1,0,0,3,639,0,0,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,16,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,13,0,0,0,0,0,0,2,20,0,0,1,2,0
B5_I,0,0,0,0,0,0,6,13,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0
B5_I,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0
B6_I,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B6_I,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
B6_I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B6_I,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
C1_I,0,0,2,79,0,0,20,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,40,0,0,0,0,0,0,9,0,0,0,0,0,1
C1_I,0,0,0,53,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,85,0,0,0,0,0,0,7,2,0,0,0,0,0
B1_I,0,4,4,23,0,0,13,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,34,1,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,4,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,7,0,0,0,0,0,0,9,3,0,0,2,0,1
B1_I,0,3,25,177,0,0,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,27,0,0,0,0,0,0,0,9,1,0,0,1,0
B1_I,0,10,6,64,0,0,9,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,15,5,30,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,18,12,0,0,0,2,0,0,30,24,0,0,0,0,0
B2_I,0,2,9,4,0,0,56,0,0,0,1,1,0,1,0,0,0,6,0,0,0,0,4,49,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,4,0,0,0,1,0,0,3,1,0,0,0,0,0
B2_I,0,4,2,14,0,0,32,0,0,0,0,0,0,6,0,0,0,40,0,0,0,0,4,85,0,0,0,0,0,13,9,0,0,0,0,0,0,0,0,1,0,47,0,3,0,0,0,33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,34,0,0
B2_I,0,1,6,20,0,0,25,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,2,45,0,0,0,0,0,11,0,0,1,1,0,0,0,0,0,0,0,35,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,18,4,0,0,0,2,0,0,4,2,0,0,12,0,0
C3_I,0,4,5,3,0,0,15,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,3,0,0
C3_I,0,3,6,85,0,0,22,1,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,4,0,0,0,0,0,0,1,2,0,0,2,1,0
C3_I,0,15,7,16,0,0,15,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,6,0,2,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,5,0,0,0,0,0,0,6,2,0,0,1,1,0
C3_I,0,2,3,19,0,0,31,17,0,0,10,1,0,1,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,8,0,0,2,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,49,0,1,4,0,0
C3_I,0,11,0,1,0,0,23,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,1,0,2,0,0,10,0,0,0,0,0,1,0,0,7,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,1,0,0,0,0,0,0,2,0,0,0,0,0,0
B3_I,0,0,9,9,0,0,10,16,0,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,2,2,0,0,0,1,0
B3_I,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
B3_I,0,1,1,2,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
B3_I,0,3,5,2,0,0,19,30,0,0,1,0,0,1,1,0,0,10,0,0,2,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,13,0,0,20,8,0,0,5,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0
B3_I,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,2,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3_I,0,0,1,2,0,0,4,3,0,0,3,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0
C2_I,0,0,2,4,0,0,18,0,0,0,0,0,0,0,0,0,0,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,5,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
C2_I,0,2,3,16,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,0,0,0,0,0,0,2,1,0,0,0,1,0
C2_I,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,11,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,3,0,0,1,1,0
B4_I,1,3,0,5,0,0,30,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,0,0,0,0,1,0,0,2,0,0
B4_I,0,10,11,35,0,0,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,4,1,16,12,0,0,0,0,1,1,8,2,0,0,19,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,13,0,0,0,0,0,0,0,53,0,0,38,0,0
