"Chironomidae_Unknown","Chironomidae_Corynoneura","Chironomidae_Tanypodinae","Chironomidae_Tanytarsini","Chironomidae_Chironimini","Chironomidae_Podonominae","Chironomidae_Orthocladinae","Chironomidae_Brillia","Empididae_Chelifera","Ceratopogonidae_Unknown","Culucidae_Unknown","Tipulidae_Dicronata","Tipulidae_Molophilus","Tipulidae_Hexatoma","Tipulidae_Pedicia","Simulidae_Simulium","Dixidae_Unknown","Horny.diptera.brown.head..pale.body..12.segments..1mm_..","Unknown_Unknown","Leptophlebidae_Paraleptophlebia","Baetidae_Baetis","Baetidae_Procleon","Baetidae_Unknown","Amaletidae_Amaletus","Heptagenidae_Cinygmula","Heptagenidae_Cinygma","Heptagenidae_Epeorus","Ephemerellidae_Ephemerella","Ephemerellidae_Serratella","Nemouridae_Zapada","Nemouridae_Malenka","Nemouridae_Nemoura","Chloroperlidae_Sweltza","Peltoperlidae_Yoraperla","Leuctridae_Despaxia","Perlolidae_Unknown","Capniidae_Capnia","Elmidae_Heterlimnius","Elmidae_Lara","Elmidae_Rhizelmus","Hydrochiidae_Hydrochus","Dysticidae_Unknown","Brachycentridae_Brachycentrus","Brachycentridae_Micrasema","Limnephilidae_Psychoglypha","Lepidostomatidae_Lepidostoma","Limnephilidae_Unknown","Polycentropodidae_Polycentropus","Philopotamidae_Wormaldia","Rhyacophilidae_Rhyacophila","Psychomyiidae_Psychomyia","Psychomyiidae_Lype","Apataniidae_Apatania","Cordulegastridae_Unknown","Ashnidae_Unknown","Unknown_Unknown.1","X_Redbum","X_Bivalve","Collembola_A","Collembola_B","Collembola_C","Megaloptera_Unknown","Megaloptera_Unknown.1","Corydalidae_Dysmicohermes","Sialidae_Sialis","Oligocetes_Unknown","Cyclopidae_Cyclops","Gerridae_Unknown","Saldidae_Unknown","Hemiptera_Unknown","Trombidiformes_Unknown","Planariidae_Planaria","Nematoda_Unknown","Ostracoda_Unknown","Lepidoptera_Unknown","Turbellaria_Unknown","Mite_Unknown","Spider_Unknown","Site","Site_surbers","Area.m2"
1.38888888888889,1.38888888888889,6.94444444444444,0,0,1.38888888888889,4.16666666666667,2.77777777777778,1.38888888888889,2.77777777777778,0,2.77777777777778,0,0,NA,0,0,0,0,15.2777777777778,65.2777777777778,0,23.6111111111111,2.77777777777778,9.72222222222222,0,9.72222222222222,8.33333333333333,0,0,11.1111111111111,4.16666666666667,6.94444444444444,0,11.1111111111111,6.94444444444444,0,4.16666666666667,0,0,0,0,0,0,0,16.6666666666667,0,1.38888888888889,1.38888888888889,0,0,0,0,0,0,2.77777777777778,0,0,0,0,1.38888888888889,0,0,0,0,550,0,0,0,0,5.55555555555556,0,0,0,0,0,0,0,"B1_C",8,0.72
0,2.77777777777778,5.55555555555556,4.16666666666667,0,0,0,11.1111111111111,1.38888888888889,9.72222222222222,1.38888888888889,4.16666666666667,0,0,0,4.16666666666667,0,0,0,11.1111111111111,6.94444444444444,0,0,1.38888888888889,0,0,8.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38888888888889,0,1.38888888888889,4.16666666666667,2.77777777777778,0,0,0,0,0,1.38888888888889,0,0,0,0,0,0,5.55555555555556,0,0,447.222222222222,1.38888888888889,0,0,0,0,0,0,0,0,0,0,0,"B2_C",8,0.72
1.38888888888889,11.1111111111111,76.3888888888889,0,0,0,20.8333333333333,15.2777777777778,1.38888888888889,4.16666666666667,0,5.55555555555556,1.38888888888889,0,0,0,2.77777777777778,0,0,1.38888888888889,0,0,0,0,0,0,0,0,0,6.94444444444444,0,0,6.94444444444444,0,18.0555555555556,27.7777777777778,1.38888888888889,0,0,0,0,0,0,0,0,2.77777777777778,0,18.0555555555556,0,0,0,0,1.38888888888889,0,0,5.55555555555556,30.5555555555556,0,50,0,0,0,1.38888888888889,0,0,98.6111111111111,4.16666666666667,0,0,1.38888888888889,0,0,1.38888888888889,0,0,1.38888888888889,0,0,"B3_C",8,0.72
0,66.6666666666667,202.777777777778,22.2222222222222,0,2.77777777777778,0,97.2222222222222,5.55555555555556,5.55555555555556,0,6.94444444444444,0,0,0,0,0,0,0,5.55555555555556,31.9444444444444,0,0,8.33333333333333,0,0,13.8888888888889,0,0,4.16666666666667,0,0,109.722222222222,0,54.1666666666667,0,0,1.38888888888889,0,0,0,0,0,0,0,29.1666666666667,0,23.6111111111111,0,1.38888888888889,0,0,0,0,0,1.38888888888889,4.16666666666667,0,0,0,0,0,0,0,0,30.5555555555556,0,0,0,0,0,0,0,0,1.38888888888889,0,0,0,"B4_C",8,0.72
0,83.3333333333333,140.277777777778,261.111111111111,2.77777777777778,5.55555555555556,13.8888888888889,29.1666666666667,1.38888888888889,119.444444444444,1.38888888888889,6.94444444444444,0,1.38888888888889,NA,0,0,0,0,148.611111111111,43.0555555555556,4.16666666666667,0,31.9444444444444,8.33333333333333,2.77777777777778,36.1111111111111,1.38888888888889,1.38888888888889,444.444444444444,1.38888888888889,0,215.277777777778,0,9.72222222222222,36.1111111111111,0,47.2222222222222,1.38888888888889,83.3333333333333,0,0,1.38888888888889,0,4.16666666666667,5.55555555555556,0,2.77777777777778,1.38888888888889,0,4.16666666666667,0,0,0,0,0,0,0,0,1.38888888888889,0,0,1.38888888888889,0,0,240.277777777778,34.7222222222222,1.38888888888889,0,0,0,0,12.5,6.94444444444444,0,0,0,0,"B5_C",8,0.72
2.77777777777778,20.8333333333333,161.111111111111,41.6666666666667,2.77777777777778,0,91.6666666666667,37.5,2.77777777777778,20.8333333333333,1.38888888888889,5.55555555555556,0,0,0,9.72222222222222,0,0,0,0,6.94444444444444,0,0,1.38888888888889,13.8888888888889,0,0,0,0,33.3333333333333,0,0,16.6666666666667,0,5.55555555555556,27.7777777777778,0,4.16666666666667,0,1.38888888888889,0,0,0,0,0,2.77777777777778,0,16.6666666666667,0,0,0,0,0,0,1.38888888888889,12.5,8.33333333333333,0,2.77777777777778,12.5,1.38888888888889,6.94444444444444,12.5,0,0,243.055555555556,91.6666666666667,0,0,0,1.38888888888889,0,0,0,1.38888888888889,0,4.16666666666667,0,"C1_C",8,0.72
0,25.9259259259259,46.2962962962963,74.0740740740741,0,0,0,75.9259259259259,0,94.4444444444444,0,5.55555555555556,0,0,0,1.85185185185185,0,0,0,14.8148148148148,5.55555555555556,0,0,16.6666666666667,0,0,0,0,0,40.7407407407407,0,0,25.9259259259259,0,5.55555555555556,0,0,0,0,0,0,0,1.85185185185185,0,5.55555555555556,3.7037037037037,0,9.25925925925926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.407407407407,14.8148148148148,0,0,0,0,0,0,0,0,0,0,0,"C2_C",6,0.54
7.93650793650794,63.4920634920635,146.031746031746,266.666666666667,0,6.34920634920635,333.333333333333,66.6666666666667,0,125.396825396825,0,0,0,0,0,0,3.17460317460317,0,0,384.126984126984,479.365079365079,7.93650793650794,1.58730158730159,38.0952380952381,20.6349206349206,0,9.52380952380952,1.58730158730159,0,371.428571428571,3.17460317460317,0,33.3333333333333,0,15.8730158730159,31.7460317460317,0,20.6349206349206,0,1.58730158730159,0,0,0,0,0,7.93650793650794,1.58730158730159,31.7460317460317,4.76190476190476,0,0,1.58730158730159,0,4.76190476190476,0,0,0,0,0,1.58730158730159,1.58730158730159,0,0,0,1.58730158730159,365.079365079365,169.84126984127,1.58730158730159,7.93650793650794,0,1.58730158730159,0,0,0,0,0,20.6349206349206,0,"C3_C",7,0.63
0,322.222222222222,30.5555555555556,119.444444444444,22.2222222222222,22.2222222222222,109.722222222222,258.333333333333,0,50,4.16666666666667,6.94444444444444,0,0,NA,0,0,0,0,425,0,0,0,0,13.8888888888889,0,16.6666666666667,0,0,20.8333333333333,0,0,16.6666666666667,0,27.7777777777778,20.8333333333333,0,1.38888888888889,0,0,0,1.38888888888889,0,0,0,1.38888888888889,0,25,0,0,0,0,0,0,0,2.77777777777778,4.16666666666667,6.94444444444444,0,0,0,0,0,0,0,80.5555555555556,397.222222222222,1.38888888888889,0,0,5.55555555555556,1.38888888888889,11.1111111111111,0,0,0,0,0,"C4_C",8,0.72
4.16666666666667,54.1666666666667,313.888888888889,120.833333333333,1.38888888888889,9.72222222222222,34.7222222222222,48.6111111111111,1.38888888888889,205.555555555556,0,27.7777777777778,0,4.16666666666667,0,1.38888888888889,1.38888888888889,0,0,190.277777777778,84.7222222222222,0,NA,22.2222222222222,12.5,0,12.5,9.72222222222222,1.38888888888889,69.4444444444444,1.38888888888889,0,102.777777777778,0,15.2777777777778,31.9444444444444,0,44.4444444444444,0,48.6111111111111,0,0,0,0,1.38888888888889,5.55555555555556,0,5.55555555555556,0,0,0,2.77777777777778,0,0,0,0,1.38888888888889,0,0,4.16666666666667,0,0,0,0,0,38.8888888888889,4.16666666666667,0,0,0,5.55555555555556,0,5.55555555555556,0,0,0,4.16666666666667,0,"R1_C",8,0.72
12.962962962963,79.6296296296296,272.222222222222,185.185185185185,38.8888888888889,0,66.6666666666667,0,0,87.037037037037,0,1.85185185185185,0,0,NA,0,0,3.7037037037037,1.85185185185185,72.2222222222222,42.5925925925926,31.4814814814815,0,14.8148148148148,44.4444444444444,16.6666666666667,1.85185185185185,0,0,118.518518518519,0,0,231.481481481481,0,0,59.2592592592593,0,0,1.85185185185185,16.6666666666667,1.85185185185185,0,0,1.85185185185185,0,18.5185185185185,0,7.40740740740741,0,0,1.85185185185185,3.7037037037037,0,1.85185185185185,0,0,0,0,0,0,0,0,0,0,0,125.925925925926,22.2222222222222,0,3.7037037037037,1.85185185185185,0,0,5.55555555555556,0,0,0,14.8148148148148,1.85185185185185,"R2_C",6,0.54
0,33.3333333333333,52.3809523809524,98.4126984126984,0,1.58730158730159,12.6984126984127,12.6984126984127,1.58730158730159,31.7460317460317,0,1.58730158730159,0,0,0,1.58730158730159,1.58730158730159,0,0,226.984126984127,0,0,NA,4.76190476190476,28.5714285714286,0,52.3809523809524,1.58730158730159,0,7.93650793650794,0,0,101.587301587302,14.2857142857143,11.1111111111111,9.52380952380952,0,0,0,0,0,0,0,0,0,11.1111111111111,0,0,0,0,0,0,0,0,0,4.76190476190476,0,0,3.17460317460317,3.17460317460317,3.17460317460317,0,0,1.58730158730159,0,195.238095238095,19.047619047619,0,0,1.58730158730159,0,0,0,0,0,0,0,0,"R3_C",7,0.63
