"Chironomidae_Unknown","Chironomidae_Corynoneura","Chironomidae_Tanypodinae","Chironomidae_Tanytarsini","Chironomidae_Chironimini","Chironomidae_Podonominae","Chironomidae_Orthocladinae","Chironomidae_Orthocladinae.1","Chironomidae_Brillia","Empididae_Chelifera","Empididae_Oreogeton","Ceratopogonidae_Unknown","Culucidae_Unknown","Tipulidae_Dicronata","Tipulidae_Molophilus","Tipulidae_Hexatoma","Tipulidae_Pedicia","Simulidae_Simulium","Simulidae_Twinnia","Dixidae_Unknown","Horny.diptera.brown.head..pale.body..12.segments..1mm_..","Unknown_Unknown","Leptophlebidae_Paraleptophlebia","Leptophlebidae_Unknown..1","Baetidae_Baetis","Baetidae_Heterocleon","Baetidae_Procleon","Baetidae_Unknown..1","Baetidae_Fallcleon","Amaletidae_Amaletus","Heptagenidae_Cinygmula","Heptagenidae_Cinygma","Heptagenidae_Epeorus","Heptagenidae_Irondes","Ephemerellidae_Ephemerella","Ephemerellidae_Serratella","Ephemerellidae_Drunella","Ephemerellidae_Unknown","Nemouridae_Zapada","Nemouridae_Malenka","Nemouridae_Nemoura","Chloroperlidae_Sweltza","Chloroperlidae_Suwallia","Chloroperlidae_Unknown","Peltoperlidae_Yoraperla","Leuctridae_Despaxia","Leuctridae_Unknown","Perlolidae_Unknown..1","Perlolidae_Unknown..2","Perlolidae_Osobenus","Capniidae_Capnia","Perlidae_Unknown","Unknown_Unknown.1","Elmidae_Heterlimnius","Elmidae_Lara","Elmidae_Rhizelmus","Chrysomelidae_Unknown","Hydrophilidae_Helophorus","Hydrophilidae_Hydrobius","Hydrophilidae_Unknown","Hydrochiidae_Hydrochus","Dysticidae_Unknown","Dysticidae_Hydaticus","Tenebrionidae_Unknown","Unknown_Unknown..1","Staphylinidae_Unknown","Brachycentridae_Brachycentrus","Brachycentridae_Micrasema","Limnephilidae_Psychoglypha","Limnephilidae_Clostoeca","Limnephilidae_Philocasca","Limnephilidae_Homophylax","Lepidostomatidae_Lepidostoma","Limnephilidae_Unknown","Polycentropodidae_Polycentropus","Philopotamidae_Wormaldia","Rhyacophilidae_Rhyacophila","Psychomyiidae_Psychomyia","Psychomyiidae_Tinodes","Apataniidae_Apatania","Cordulegastridae_Unknown","Ashnidae_Unknown","Unknown_Unknown.2","Unknown_Unknown.3","X_Redbum","X_Bivalve","X_A","X_B","X_C","Unknown_Unknown.4","Corydalidae_Dysmicohermes","Sialidae_Sialis","Unknown_Unknown.5","Cyclopidae_Cyclops","Gerridae_Unknown","Saldidae_Unknown","Hebridae_Unknown","Unknown_Unknown.6","Unknown_Unknown.7","Planariidae_Planaria","Unknown_Unknown.8","Unknown_Unknown.9","Unknown_Unknown.10","Noctuidae_Unknown","Unknown_Unknown.11","Mite_Unknown","Spider_Unknown","Site","Site_surbers","Area.m2"
0,62.962962962963,129.62962962963,977.777777777778,0,0,166.666666666667,0,0,0,0,48.1481481481481,0,7.40740740740741,0,0,0,0,0,0,0,0,22.2222222222222,188.888888888889,0,0,0,0,3.7037037037037,344.444444444444,3.7037037037037,0,0,0,0,0,0,0,0,0,0,133.333333333333,140.740740740741,111.111111111111,0,0,0,14.8148148148148,14.8148148148148,0,0,0,0,0,0,40.7407407407407,0,0,0,0,0,0,0,0,0,0,3.7037037037037,0,0,0,7.40740740740741,0,7.40740740740741,0,0,0,0,0,0,0,0,0,7.40740740740741,0,0,0,11.1111111111111,0,0,0,0,0,137.037037037037,170.37037037037,0,0,0,7.40740740740741,0,0,144.444444444444,133.333333333333,3.7037037037037,0,7.40740740740741,3.7037037037037,3.7037037037037,"B1_I",3,0.27
0,25.9259259259259,62.962962962963,140.740740740741,0,0,418.518518518518,0,0,0,11.1111111111111,7.40740740740741,0,25.9259259259259,0,0,0,177.777777777778,0,0,0,0,37.037037037037,662.962962962963,25.9259259259259,0,0,0,0,88.8888888888889,48.1481481481481,0,3.7037037037037,3.7037037037037,0,0,0,0,0,3.7037037037037,0,474.074074074074,3.7037037037037,62.962962962963,0,0,0,122.222222222222,0,0,0,0,0,0,0,7.40740740740741,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8148148148148,18.5185185185185,0,0,0,0,0,0,0,0,0,0,0,18.5185185185185,0,0,0,3.7037037037037,0,0,0,0,0,111.111111111111,33.3333333333333,0,0,0,11.1111111111111,0,0,29.6296296296296,11.1111111111111,0,0,170.37037037037,0,0,"B2_I",3,0.27
0,7.40740740740741,29.6296296296296,29.6296296296296,1.85185185185185,0,72.2222222222222,101.851851851852,0,0,11.1111111111111,3.7037037037037,0,7.40740740740741,1.85185185185185,0,0,24.0740740740741,0,1.85185185185185,3.7037037037037,0,22.2222222222222,0,0,1.85185185185185,0,0,0,5.55555555555556,14.8148148148148,0,0,0,0,0,0,0,29.6296296296296,5.55555555555556,0,59.2592592592593,16.6666666666667,0,0,9.25925925925926,0,88.8888888888889,14.8148148148148,0,0,0,0,0,0,0,0,1.85185185185185,0,0,0,0,0,0,0,0,0,0,1.85185185185185,0,0,0,0,0,0,0,1.85185185185185,0,0,0,0,0,0,0,0,0,5.55555555555556,3.7037037037037,1.85185185185185,0,0,0,14.8148148148148,18.5185185185185,0,0,0,0,0,0,7.40740740740741,12.962962962963,0,0,3.7037037037037,3.7037037037037,1.85185185185185,"B3_I",6,0.54
5.55555555555556,72.2222222222222,61.1111111111111,222.222222222222,0,0,305.555555555556,22.2222222222222,0,0,0,0,0,0,0,5.55555555555556,0,0,0,0,0,0,27.7777777777778,11.1111111111111,0,0,0,22.2222222222222,5.55555555555556,105.555555555556,111.111111111111,0,0,0,0,5.55555555555556,5.55555555555556,44.4444444444444,11.1111111111111,0,0,127.777777777778,22.2222222222222,11.1111111111111,0,0,0,0,16.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1111111111111,0,0,0,0,0,111.111111111111,83.3333333333333,0,0,0,0,0,0,0,300,0,0,222.222222222222,0,0,"B4_I",2,0.18
0,0,0,0,0,0,50,77.7777777777778,0,0,5.55555555555556,0,0,5.55555555555556,5.55555555555556,0,0,11.1111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55555555555556,0,0,0,0,5.55555555555556,0,0,0,0,5.55555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55555555555556,0,0,0,0,0,50,0,0,0,0,16.6666666666667,0,0,11.1111111111111,5.55555555555556,0,0,0,0,0,"B5_I",2,0.18
0,0,0,0,0,0,27.7777777777778,2.77777777777778,0,0,0,2.77777777777778,0,0,0,0,0,33.3333333333333,61.1111111111111,0,0,0,0,0,0,0,0,0,0,8.33333333333333,0,0,0,0,0,0,0,0,0,2.77777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77777777777778,0,0,2.77777777777778,0,0,0,0,0,2.77777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.4444444444444,0,0,0,0,0,2.77777777777778,2.77777777777778,0,0,0,5.55555555555556,0,0,2.77777777777778,0,0,0,0,0,0,"B6_I",4,0.36
0,0,11.1111111111111,733.333333333333,0,0,127.777777777778,0,0,0,0,38.8888888888889,0,0,0,0,0,5.55555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55555555555556,0,0,0,0,22.2222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327.777777777778,694.444444444444,0,0,0,0,0,0,88.8888888888889,11.1111111111111,0,0,0,0,5.55555555555556,"C1_I",2,0.18
0,11.1111111111111,22.2222222222222,77.7777777777778,0,0,100,0,0,0,0,0,0,0,0,0,0,1203.7037037037,0,0,0,0,0,0,77.7777777777778,0,0,7.40740740740741,0,40.7407407407407,7.40740740740741,0,0,3.7037037037037,0,0,3.7037037037037,0,0,0,0,11.1111111111111,48.1481481481481,0,0,0,7.40740740740741,18.5185185185185,14.8148148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7037037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7037037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,66.6666666666667,74.0740740740741,0,0,0,0,0,0,7.40740740740741,18.5185185185185,0,0,3.7037037037037,7.40740740740741,0,"C2_I",3,0.27
0,77.7777777777778,46.6666666666667,275.555555555556,0,0,235.555555555556,66.6666666666667,0,0,35.5555555555556,6.66666666666667,0,28.8888888888889,0,0,0,8.88888888888889,0,0,0,0,17.7777777777778,0,31.1111111111111,0,0,2.22222222222222,0,40,28.8888888888889,0,33.3333333333333,0,0,0,0,0,26.6666666666667,0,0,46.6666666666667,31.1111111111111,0,0,2.22222222222222,0,35.5555555555556,8.88888888888889,2.22222222222222,0,6.66666666666667,2.22222222222222,0,0,0,0,0,0,0,0,0,0,2.22222222222222,2.22222222222222,2.22222222222222,11.1111111111111,0,15.5555555555556,0,0,0,0,4.44444444444444,0,0,4.44444444444444,0,0,0,0,0,4.44444444444444,0,0,0,6.66666666666667,0,2.22222222222222,0,0,0,146.666666666667,26.6666666666667,0,0,2.22222222222222,0,0,0,20,124.444444444444,0,2.22222222222222,22.2222222222222,4.44444444444444,0,"C3_I",5,0.45
0,2.22222222222222,8.88888888888889,66.6666666666667,0,0,75.5555555555556,0,0,0,0,0,0,0,0,0,0,13.3333333333333,0,0,0,0,24.4444444444444,273.333333333333,0,0,0,0,0,84.4444444444445,6.66666666666667,0,6.66666666666667,0,0,0,0,0,2.22222222222222,0,0,66.6666666666667,4.44444444444444,0,0,0,2.22222222222222,4.44444444444444,0,0,0,0,0,0,0,13.3333333333333,0,0,2.22222222222222,0,0,0,0,2.22222222222222,0,0,0,0,0,0,2.22222222222222,2.22222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.5555555555556,8.88888888888889,0,0,0,0,15.5555555555556,40,0,15.5555555555556,0,15.5555555555556,0,0,4.44444444444444,391.111111111111,6.66666666666667,0,0,4.44444444444444,2.22222222222222,"R1_I",5,0.45
5.55555555555556,5.55555555555556,16.6666666666667,22.2222222222222,0,0,55.5555555555556,11.1111111111111,0,0,5.55555555555556,0,0,22.2222222222222,0,0,0,0,0,0,0,5.55555555555556,83.3333333333333,0,0,0,0,0,0,11.1111111111111,38.8888888888889,0,0,0,0,0,11.1111111111111,0,11.1111111111111,16.6666666666667,0,116.666666666667,5.55555555555556,0,0,16.6666666666667,0,16.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6666666666667,0,0,0,0,0,0,0,0,111.111111111111,0,0,27.7777777777778,5.55555555555556,0,"R2_I",2,0.18
0,33.3333333333333,33.3333333333333,2674.07407407407,0,0,418.518518518518,0,0,0,3.7037037037037,0,0,0,0,0,0,0,0,0,0,0,51.8518518518518,144.444444444444,0,0,0,0,0,44.4444444444444,170.37037037037,0,29.6296296296296,0,0,0,44.4444444444444,0,3.7037037037037,11.1111111111111,0,244.444444444444,48.1481481481481,7.40740740740741,0,0,0,0,0,0,0,0,0,0,0,96.2962962962963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7037037037037,0,0,0,0,0,0,0,0,0,7.40740740740741,0,0,0,0,0,14.8148148148148,70.3703703703704,0,0,0,0,0,0,7.40740740740741,111.111111111111,0,0,122.222222222222,7.40740740740741,0,"R3_1",3,0.27
