"Ameletus","Baetidae_2tails","Baetidae_3tails","Baetis","Heterocleon","Procloeon","Fallcleon","Baetidae_juv","Serratella","New_Drunella","Drunella_sp","Ephemerellidae_juv","Ironodes","Cinygmula","Cinygma","Epeorus","Heptageniidae_juv","Paraleptophlebia.gregalis","Paraleptophlebia.temporalis","Paraleptophlebia","Paraleptophlebidae_juv","Ephemeroptera_juv","Visoka.cataractae","Zapada.cinctipes","Zapada.frigida","Zapada_juv","Malenka","Soyedina","Nemouridae_juv","Despaxia","Leuctridae_juv","Capnidae_juv","Kathroperla","Sweltza","Suwallia","Chloroperlidae_Other","Chloroperlidae_juv","Perlodidae_nogills","Perlodidae_juv","Perlodidae_Unknown1","Perlodidae_Unknown2","Perlolidae_Osobenus","Chlorop_Perlodid_Perlid_juv","Perlidae_juv","Plecoptera_juv","Plecoptera_adult","Glossosoma","Rhyacophila","Lepidostoma_roafi","Lepidostoma_David","Lepidostoma_juv","Brachycentrus","Apatania","Allomyia","Psychoglypha","Discosmoecus","Chyranda","Clostoeca","Philocasca","Homophylax","Limnephilidae_juv","Goeracea","Agraylea","Tinodes","Trichoptera_pupae","Trichop.dam.juv","Heterlimnius","Rhizelmis","Dytiscid_unknown","Dyticidae_Hydaticus","Hydrophilidae_Helophorus","Hydrophilidae_Hydrobius","Hydrophilidae_unknown","Hydroptilidae_unknown","Hydrochiidae_Hydrochus","Crysomelidae_unknown","Tenebrionidae_unknown","Coleoptera_unknown","Staphylinidae_adult","Adult_unknown","Chironomini","Tanytarsini","Tanypodinae","Brillia","Corynoneura","Other_Orthocladiinae","Orthocladinae2","LongHairOrthoclad","Podominae","Chironomid_unknown","ChiroN_.pupae","Chioron_adult","Ceratopog_maybenoBezzia","Dixa","Simuliidae_larvae","Simulium","Twinnia","Simul.pupae","Dicranota","Hexatoma","Molophilus","Tipulidae_juv.dam","Chelifera","Oreogeton","Horny_Diptera_larva","Unknown_Diptera_larva","Diptera_adult","Culicid_larva","Diptera_pupae","Cordulegaster.dorsalis","Sminthuridae","Unknown.Collembola","Collembola_A","Collembola_B","Collembola_C","Homoptera","Saldidae_Unknown","Hebridae_Unknown","Hemiptera_unknown","Thrip","Ostracoda_unknown","Copepoda","Naididae","Turbellaria_unknown","Nematoda_unknown","Other_Hydracarina","Non_Oribatid","Oribatea","Mite_Unknown","Flat.snail","Taller.snail","Sphaeriidae_unknown","Caterpillar_unknown","Noctuidae_Unknown","Spider_unknown","Site_surbers","Area.m2"
420.634920634921,0,34.9206349206349,0,0,0,1.58730158730159,0,0,4.76190476190476,0,0,0,15.8730158730159,1.58730158730159,0,163.492063492063,0,0,9.52380952380952,80.9523809523809,0,0,0,0,0,0,0,0,0,7.93650793650794,0,0,209.52380952381,60.3174603174603,42.8571428571429,141.269841269841,0,1.58730158730159,6.34920634920635,6.34920634920635,0,73.015873015873,3.17460317460317,0,0,0,0,1.58730158730159,0,14.2857142857143,1.58730158730159,0,9.52380952380952,0,0,1.58730158730159,0,3.17460317460317,0,0,0,0,0,0,0,28.5714285714286,17.4603174603175,0,0,0,0,3.17460317460317,0,0,0,0,0,0,0,0,452.380952380952,68.2539682539683,71.4285714285714,49.2063492063492,88.8888888888889,0,0,0,0,0,0,25.3968253968254,1.58730158730159,0,0,0,0,6.34920634920635,0,0,0,0,1.58730158730159,0,0,0,0,0,0,0,1.58730158730159,4.76190476190476,0,0,1.58730158730159,0,0,17.4603174603175,6.34920634920635,96.8253968253968,74.6031746031746,69.8412698412698,23.8095238095238,65.0793650793651,0,7.93650793650794,0,1.58730158730159,0,0,1.58730158730159,4.76190476190476,0,4.76190476190476,11.1111111111111,1
66.6666666666667,2.77777777777778,1.38888888888889,9.72222222222222,0,0,0,0,0,2.77777777777778,0,0,1.38888888888889,31.9444444444444,1.38888888888889,1.38888888888889,180.555555555556,0,0,13.8888888888889,281.944444444444,0,0,5.55555555555556,0,0,1.38888888888889,1.38888888888889,0,0,1.38888888888889,0,0,281.944444444444,1.38888888888889,1.38888888888889,108.333333333333,1.38888888888889,0,45.8333333333333,0,0,55.5555555555556,0,0,0,1.38888888888889,1.38888888888889,1.38888888888889,0,1.38888888888889,0,0,18.0555555555556,0,1.38888888888889,5.55555555555556,5.55555555555556,6.94444444444444,0,1.38888888888889,0,0,0,2.77777777777778,1.38888888888889,4.16666666666667,2.77777777777778,0,0,0,0,1.38888888888889,0,0,0,0,1.38888888888889,0,0,0,63.8888888888889,109.722222222222,98.6111111111111,29.1666666666667,247.222222222222,0,0,0,0,6.94444444444444,0,8.33333333333333,1.38888888888889,136.111111111111,66.6666666666667,0,2.77777777777778,11.1111111111111,0,0,4.16666666666667,2.77777777777778,6.94444444444444,0,2.77777777777778,1.38888888888889,0,2.77777777777778,0,0,1.38888888888889,1.38888888888889,0,0,0,0,0,9.72222222222222,22.2222222222222,27.7777777777778,12.5,106.944444444444,230.555555555556,36.1111111111111,0,0,1.38888888888889,0,1.38888888888889,1.38888888888889,0,0,0,1.38888888888889,11.1111111111111,1
5.55555555555556,0,0,0,1.85185185185185,0,0,0,0,0,0,0,0,14.8148148148148,0,0,0,0,0,22.2222222222222,0,0,0,0,0,29.6296296296296,5.55555555555556,0,0,9.25925925925926,0,0,0,59.2592592592593,16.6666666666667,0,0,0,0,88.8888888888889,14.8148148148148,0,0,0,0,0,0,1.85185185185185,0,0,0,0,0,0,1.85185185185185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85185185185185,0,0,0,0,0,0,0,0,0,1.85185185185185,29.6296296296296,29.6296296296296,0,7.40740740740741,72.2222222222222,101.851851851852,0,0,0,0,0,3.7037037037037,1.85185185185185,0,24.0740740740741,0,0,7.40740740740741,0,1.85185185185185,0,0,11.1111111111111,3.7037037037037,0,0,0,0,0,0,0,5.55555555555556,3.7037037037037,1.85185185185185,0,0,0,0,0,12.962962962963,18.5185185185185,14.8148148148148,3.7037037037037,7.40740740740741,0,0,0,3.7037037037037,0,0,0,0,0,1.85185185185185,11.1111111111111,1
70.3703703703704,1.85185185185185,0,0,0,5.55555555555556,1.85185185185185,7.40740740740741,1.85185185185185,3.7037037037037,1.85185185185185,14.8148148148148,0,57.4074074074074,3.7037037037037,5.55555555555556,44.4444444444444,0,3.7037037037037,9.25925925925926,11.1111111111111,1.85185185185185,0,0,0,3.7037037037037,0,0,1.85185185185185,0,0,0,1.85185185185185,137.037037037037,7.40740740740741,9.25925925925926,3.7037037037037,0,0,0,5.55555555555556,0,0,0,0,0,0,1.85185185185185,0,0,0,0,0,1.85185185185185,0,9.25925925925926,0,3.7037037037037,0,0,1.85185185185185,0,0,0,0,0,3.7037037037037,0,1.85185185185185,0,0,0,0,0,0,0,0,0,0,0,0,233.333333333333,148.148148148148,131.481481481481,68.5185185185185,194.444444444444,7.40740740740741,7.40740740740741,5.55555555555556,1.85185185185185,24.0740740740741,0,3.7037037037037,0,0,0,0,0,1.85185185185185,3.7037037037037,0,3.7037037037037,0,1.85185185185185,0,0,0,0,0,0,3.7037037037037,0,3.7037037037037,0,0,0,0,0,5.55555555555556,5.55555555555556,296.296296296296,46.2962962962963,44.4444444444444,127.777777777778,3.7037037037037,3.7037037037037,5.55555555555556,0,0,3.7037037037037,0,0,1.85185185185185,0,1.85185185185185,11.1111111111111,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1.38888888888889,0,0,0,0,0,0,0,0,0,0,9.72222222222222,1.38888888888889,0,0,0,2.77777777777778,1.38888888888889,2.77777777777778,0,15.2777777777778,0,0,0,0,0,0,0,0,1.38888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38888888888889,0,0,0,0,0,0,0,0,1.38888888888889,0,1.38888888888889,0,0,0,0,0,0,1.38888888888889,0,0,0,1.38888888888889,1.38888888888889,0,0,0,16.6666666666667,1.38888888888889,29.1666666666667,19.4444444444444,19.4444444444444,0,0,6.94444444444444,0,0,0,22.2222222222222,2.77777777777778,0,0,1.38888888888889,0,2.77777777777778,2.77777777777778,0,1.38888888888889,0,0,0,0,0,0,0,0,1.38888888888889,0,0,0,0,0,6.94444444444444,6.94444444444444,2.77777777777778,0,38.8888888888889,1.38888888888889,2.77777777777778,0,0,0,0,0,1.38888888888889,0,0,0,1.38888888888889,11.1111111111111,1
6.66666666666667,0,2.22222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22222222222222,0,0,0,0,0,0,0,0,0,0,0,2.22222222222222,0,0,2.22222222222222,0,0,2.22222222222222,0,0,2.22222222222222,0,0,0,48.8888888888889,2.22222222222222,0,0,0,0,0,2.22222222222222,0,22.2222222222222,26.6666666666667,48.8888888888889,0,0,0,0,0,0,0,0,0,0,2.22222222222222,0,0,0,0,15.5555555555556,0,0,0,0,0,4.44444444444444,0,0,2.22222222222222,8.88888888888889,0,2.22222222222222,0,0,0,0,0,0,0,0,0,0,11.1111111111111,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.2777777777778,0,0,0,16.6666666666667,5.55555555555556,1.38888888888889,0,5.55555555555556,2.77777777777778,0,0,0,1.38888888888889,0,1.38888888888889,0,612.5,2.77777777777778,4.16666666666667,2.77777777777778,44.4444444444444,0,0,0,0,11.1111111111111,1.38888888888889,58.3333333333333,0,0,1.38888888888889,0,0,0,0,0,2.77777777777778,0,0,0,5.55555555555556,2.77777777777778,0,0,1.38888888888889,0,0,0,0,0,0,0,0,2.77777777777778,0,13.8888888888889,473.611111111111,225,0,26.3888888888889,0,0,0,0,0,4.16666666666667,0,0,0,1.38888888888889,11.1111111111111,1
55.5555555555556,0,43.0555555555556,29.1666666666667,0,0,0,2.77777777777778,0,0,1.38888888888889,0,1.38888888888889,2.77777777777778,0,0,0,0,0,0,2.77777777777778,0,0,0,0,0,0,0,0,0,2.77777777777778,0,0,6.94444444444444,18.0555555555556,9.72222222222222,2.77777777777778,1.38888888888889,0,6.94444444444444,5.55555555555556,0,33.3333333333333,1.38888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38888888888889,51.3888888888889,1.38888888888889,0,0,8.33333333333333,1.38888888888889,0,0,0,0,0,0,0,0,0,0,2.77777777777778,91.6666666666667,22.2222222222222,56.9444444444444,34.7222222222222,97.2222222222222,0,2.77777777777778,2.77777777777778,0,0,0,1.38888888888889,0,116.666666666667,451.388888888889,0,2.77777777777778,0,1.38888888888889,0,2.77777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38888888888889,15.2777777777778,61.1111111111111,144.444444444444,2.77777777777778,9.72222222222222,0,1.38888888888889,0,2.77777777777778,0,1.38888888888889,0,0,0,0,11.1111111111111,1
33.3333333333333,0,0,25.9259259259259,0,0,0,1.85185185185185,0,3.7037037037037,0,1.85185185185185,0,24.0740740740741,0,35.1851851851852,0,0,0,14.8148148148148,1.85185185185185,0,0,0,3.7037037037037,22.2222222222222,1.85185185185185,0,0,1.85185185185185,0,0,0,38.8888888888889,25.9259259259259,0,0,0,0,29.6296296296296,7.40740740740741,1.85185185185185,11.1111111111111,5.55555555555556,1.85185185185185,0,0,7.40740740740741,0,0,0,9.25925925925926,0,0,12.962962962963,0,0,0,0,0,3.7037037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85185185185185,5.55555555555556,1.85185185185185,0,0,233.333333333333,38.8888888888889,1.85185185185185,79.6296296296296,214.814814814815,55.5555555555556,0,1.85185185185185,0,1.85185185185185,0,5.55555555555556,0,0,7.40740740740741,0,0,24.0740740740741,0,0,0,0,29.6296296296296,0,1.85185185185185,1.85185185185185,0,0,0,0,0,5.55555555555556,0,1.85185185185185,0,0,1.85185185185185,0,3.7037037037037,103.703703703704,22.2222222222222,122.222222222222,25.9259259259259,16.6666666666667,0,0,0,3.7037037037037,0,0,0,0,1.85185185185185,0,11.1111111111111,1
84.4444444444445,0,0,0,0,0,0,0,0,0,0,0,0,6.66666666666667,0,6.66666666666667,0,0,0,24.4444444444444,273.333333333333,0,0,0,0,2.22222222222222,0,0,0,0,2.22222222222222,0,0,66.6666666666667,4.44444444444444,0,0,0,0,4.44444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22222222222222,2.22222222222222,0,0,0,0,0,0,0,13.3333333333333,0,0,0,2.22222222222222,0,0,0,0,2.22222222222222,0,0,0,0,66.6666666666667,8.88888888888889,0,2.22222222222222,75.5555555555556,0,0,0,0,0,0,0,0,0,13.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.5555555555556,8.88888888888889,0,0,15.5555555555556,0,15.5555555555556,0,391.111111111111,40,15.5555555555556,0,4.44444444444444,0,0,0,4.44444444444444,0,0,0,6.66666666666667,0,2.22222222222222,11.1111111111111,1
11.1111111111111,7.93650793650794,0,0,0,0,0,0,0,3.17460317460317,3.17460317460317,0,0,42.8571428571429,0,6.34920634920635,3.17460317460317,0,7.93650793650794,23.8095238095238,63.4920634920635,0,0,0,3.17460317460317,3.17460317460317,4.76190476190476,0,0,6.34920634920635,3.17460317460317,0,1.58730158730159,90.4761904761905,1.58730158730159,3.17460317460317,1.58730158730159,0,0,4.76190476190476,0,0,7.93650793650794,0,1.58730158730159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17460317460317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.2222222222222,15.8730158730159,69.8412698412698,20.6349206349206,33.3333333333333,3.17460317460317,9.52380952380952,0,1.58730158730159,6.34920634920635,0,0,0,0,0,0,0,9.52380952380952,0,0,12.6984126984127,0,3.17460317460317,0,1.58730158730159,0,0,0,0,1.58730158730159,0,0,0,0,1.58730158730159,0,0,4.76190476190476,1.58730158730159,31.7460317460317,0,57.1428571428571,28.5714285714286,0,1.58730158730159,0,0,1.58730158730159,1.58730158730159,1.58730158730159,0,0,0,0,11.1111111111111,1
47.2222222222222,1.38888888888889,0,0,0,0,0,0,0,12.5,16.6666666666667,5.55555555555556,0,188.888888888889,1.38888888888889,11.1111111111111,231.944444444444,0,6.94444444444444,19.4444444444444,80.5555555555556,45.8333333333333,2.77777777777778,0,0,1.38888888888889,4.16666666666667,0,0,2.77777777777778,8.33333333333333,1.38888888888889,0,219.444444444444,18.0555555555556,37.5,2.77777777777778,2.77777777777778,4.16666666666667,0,0,0,20.8333333333333,1.38888888888889,0,1.38888888888889,0,13.8888888888889,0,11.1111111111111,0,0,1.38888888888889,0,0,0,0,0,0,0,0,0,0,0,0,6.94444444444444,106.944444444444,36.1111111111111,0,0,0,0,0,0,0,0,0,0,0,0,4.16666666666667,1348.61111111111,70.8333333333333,77.7777777777778,73.6111111111111,220.833333333333,0,4.16666666666667,2.77777777777778,0,11.1111111111111,1.38888888888889,11.1111111111111,0,0,0,0,0,15.2777777777778,9.72222222222222,0,12.5,1.38888888888889,1.38888888888889,0,0,0,1.38888888888889,2.77777777777778,0,0,0,2.77777777777778,0,0,0,0,0,2.77777777777778,15.2777777777778,225,45.8333333333333,23.6111111111111,109.722222222222,8.33333333333333,0,11.1111111111111,0,2.77777777777778,0,0,0,0,0,0,11.1111111111111,1
