"Site","Chironomidae_Unknown","Chironomidae_Corynoneura","Chironomidae_Tanypodinae","Chironomidae_Tanytarsini","Chironomidae_Chironimini","Chironomidae_Podonominae","Chironomidae_Orthocladinae","Chironomidae_Orthocladinae.1","Chironomidae_Brillia","Empididae_Chelifera","Empididae_Oreogeton","Ceratopogonidae_Unknown","Culucidae_Unknown","Tipulidae_Dicronata","Tipulidae_Molophilus","Tipulidae_Hexatoma","Tipulidae_Pedicia","Simulidae_Simulium","Simulidae_Twinnia","Dixidae_Unknown","Horny.diptera.brown.head..pale.body..12.segments..1mm_..","Unknown_Unknown","Leptophlebidae_Paraleptophlebia","Leptophlebidae_Unknown..1","Baetidae_Baetis","Baetidae_Heterocleon","Baetidae_Procleon","Baetidae_Unknown..1","Baetidae_Fallcleon","Amaletidae_Amaletus","Heptagenidae_Cinygmula","Heptagenidae_Cinygma","Heptagenidae_Epeorus","Heptagenidae_Irondes","Ephemerellidae_Ephemerella","Ephemerellidae_Serratella","Ephemerellidae_Drunella","Ephemerellidae_Unknown","Nemouridae_Zapada","Nemouridae_Malenka","Nemouridae_Nemoura","Chloroperlidae_Sweltza","Chloroperlidae_Suwallia","Chloroperlidae_Unknown","Peltoperlidae_Yoraperla","Leuctridae_Despaxia","Leuctridae_Unknown","Perlolidae_Unknown..1","Perlolidae_Unknown..2","Perlolidae_Osobenus","Capniidae_Capnia","Perlidae_Unknown","Unknown_Unknown.1","Elmidae_Heterlimnius","Elmidae_Lara","Elmidae_Rhizelmus","Chrysomelidae_Unknown","Hydrophilidae_Helophorus","Hydrophilidae_Hydrobius","Hydrophilidae_Unknown","Hydrochiidae_Hydrochus","Dysticidae_Unknown","Dysticidae_Hydaticus","Tenebrionidae_Unknown","Unknown_Unknown..1","Staphylinidae_Unknown","Brachycentridae_Brachycentrus","Brachycentridae_Micrasema","Limnephilidae_Psychoglypha","Limnephilidae_Clostoeca","Limnephilidae_Philocasca","Limnephilidae_Homophylax","Lepidostomatidae_Lepidostoma","Limnephilidae_Unknown","Polycentropodidae_Polycentropus","Philopotamidae_Wormaldia","Rhyacophilidae_Rhyacophila","Psychomyiidae_Psychomyia","Psychomyiidae_Tinodes","Apataniidae_Apatania","Cordulegastridae_Unknown","Ashnidae_Unknown","Unknown_Unknown.2","Unknown_Unknown.3","X_Redbum","X_Bivalve","X_A","X_B","X_C","Unknown_Unknown.4","Corydalidae_Dysmicohermes","Sialidae_Sialis","Unknown_Unknown.5","Cyclopidae_Cyclops","Gerridae_Unknown","Saldidae_Unknown","Hebridae_Unknown","Unknown_Unknown.6","Unknown_Unknown.7","Planariidae_Planaria","Unknown_Unknown.8","Unknown_Unknown.9","Unknown_Unknown.10","Noctuidae_Unknown","Unknown_Unknown.11","Mite_Unknown","Spider_Unknown"
"B1_I",0,17,35,264,0,0,45,0,0,0,0,13,0,2,0,0,0,0,0,0,0,0,6,51,0,0,0,0,1,93,1,0,0,0,0,0,0,0,0,0,0,36,38,30,0,0,0,4,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,37,46,0,0,0,2,0,0,39,36,1,0,2,1,1
"B2_I",0,7,17,38,0,0,113,0,0,0,3,2,0,7,0,0,0,48,0,0,0,0,10,179,7,0,0,0,0,24,13,0,1,1,0,0,0,0,0,1,0,128,1,17,0,0,0,33,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,30,9,0,0,0,3,0,0,8,3,0,0,46,0,0
"B3_I",0,4,16,16,1,0,39,55,0,0,6,2,0,4,1,0,0,13,0,1,2,0,12,0,0,1,0,0,0,3,8,0,0,0,0,0,0,0,16,3,0,32,9,0,0,5,0,48,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,8,10,0,0,0,0,0,0,4,7,0,0,2,2,1
"B4_I",1,13,11,40,0,0,55,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,2,0,0,0,4,1,19,20,0,0,0,0,1,1,8,2,0,0,23,4,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,20,15,0,0,0,0,0,0,0,54,0,0,40,0,0
"B5_I",0,0,0,0,0,0,9,14,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,3,0,0,2,1,0,0,0,0,0
"B6_I",0,0,0,0,0,0,10,1,0,0,0,1,0,0,0,0,0,12,22,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0
"C1_I",0,0,2,132,0,0,23,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,125,0,0,0,0,0,0,16,2,0,0,0,0,1
"C2_I",0,3,6,21,0,0,27,0,0,0,0,0,0,0,0,0,0,325,0,0,0,0,0,0,21,0,0,2,0,11,2,0,0,1,0,0,1,0,0,0,0,3,13,0,0,0,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,20,0,0,0,0,0,0,2,5,0,0,1,2,0
"C3_I",0,35,21,124,0,0,106,30,0,0,16,3,0,13,0,0,0,4,0,0,0,0,8,0,14,0,0,1,0,18,13,0,15,0,0,0,0,0,12,0,0,21,14,0,0,1,0,16,4,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,1,5,0,7,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,3,0,1,0,0,0,66,12,0,0,1,0,0,0,9,56,0,1,10,2,0
"R1_I",0,1,4,30,0,0,34,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,11,123,0,0,0,0,0,38,3,0,3,0,0,0,0,0,1,0,0,30,2,0,0,0,1,2,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,0,0,7,18,0,7,0,7,0,0,2,176,3,0,0,2,1
"R2_I",1,1,3,4,0,0,10,2,0,0,1,0,0,4,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,2,7,0,0,0,0,0,2,0,2,3,0,21,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,20,0,0,5,1,0
"R3_1",0,9,9,722,0,0,113,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,39,0,0,0,0,0,12,46,0,8,0,0,0,12,0,1,3,0,66,13,2,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,19,0,0,0,0,0,0,2,30,0,0,33,2,0
